epoca,split,mse_padronizado,marco_runs
184,teste,0.9510148945178107,40
185,treino,0.24186389485341075,40
185,validacao,0.8792085304160872,40
185,teste,0.9469589287085952,40
186,treino,0.2537042955253342,40
186,validacao,0.8979985604863886,40
186,teste,0.9744589692773787,40
187,treino,0.24587980446736843,40
187,validacao,0.8784651151762221,40
187,teste,0.9786266987940103,40
188,treino,0.24638733309651314,40
188,validacao,0.8613539292315923,40
188,teste,0.9560289405408516,40
189,treino,0.25276810130378363,40
189,validacao,0.8682958231243809,40
189,teste,0.9564300931876049,40
190,treino,0.23672665393657522,40
190,validacao,0.8870670280661569,40
190,teste,0.962627446321216,40
191,treino,0.25182538549988626,40
191,validacao,0.8994414262904927,40
191,teste,0.9783477578550848,40
192,treino,0.24120571635463497,40
192,validacao,0.8813791736300821,40
192,teste,0.9816266012879583,40
193,treino,0.24574381599377737,40
193,validacao,0.8706318897983518,40
193,teste,0.9612627150763089,40
194,treino,0.2486705945067933,40
194,validacao,0.8737584601518162,40
194,teste,0.9591269372431998,40
195,treino,0.23589344958782352,40
195,validacao,0.8918374115307235,40
195,teste,0.9654062988044355,40
196,treino,0.2524914213785017,40
196,validacao,0.9146926205178869,40
196,teste,0.9980013406958856,40
197,treino,0.2364281044510963,40
197,validacao,0.8777224925897974,40
197,teste,0.9824022796048298,40
198,treino,0.2475481403888049,40
198,validacao,0.8711762185308453,40
198,teste,0.9637837161209042,40
199,treino,0.2436589050768172,40
199,validacao,0.8763708323050797,40
199,teste,0.9662519692941313,40
200,treino,0.23462372379135624,40
200,validacao,0.8947391475314898,40
200,teste,0.9745329775122427,40
