alvo_delta,feature,grupo,importancia,importancia_pct,ranking_no_alvo,representacao_angular
delta_depth_close_2m_pp,delta_roll_rad_sin,IMU e atitude,0.02283221296966076,2.283221296966076,16,seno/cosseno
delta_depth_close_2m_pp,delta_roll_rad_cos,IMU e atitude,0.018033938482403755,1.8033938482403755,23,seno/cosseno
delta_depth_close_2m_pp,delta_pitch_rad_sin,IMU e atitude,0.0747537687420845,7.47537687420845,1,seno/cosseno
delta_depth_close_2m_pp,delta_pitch_rad_cos,IMU e atitude,0.015446005389094353,1.5446005389094353,29,seno/cosseno
delta_depth_close_2m_pp,delta_yaw_heading_rad_sin,IMU e atitude,0.011084876954555511,1.1084876954555511,46,seno/cosseno
delta_depth_close_2m_pp,delta_yaw_heading_rad_cos,IMU e atitude,0.00988740287721157,0.9887402877211571,48,seno/cosseno
delta_depth_close_2m_pp,delta_yaw_attitude_rad_sin,IMU e atitude,0.014642251655459404,1.4642251655459404,32,seno/cosseno
delta_depth_close_2m_pp,delta_yaw_attitude_rad_cos,IMU e atitude,0.011232963763177395,1.1232963763177395,45,seno/cosseno
delta_depth_close_2m_pp,gyro_x_integral_rad_sin,IMU e atitude,0.013709282502532005,1.3709282502532005,36,seno/cosseno
delta_depth_close_2m_pp,gyro_x_integral_rad_cos,IMU e atitude,0.02285495214164257,2.285495214164257,15,seno/cosseno
delta_depth_close_2m_pp,gyro_y_integral_rad_sin,IMU e atitude,0.035772621631622314,3.5772621631622314,3,seno/cosseno
delta_depth_close_2m_pp,gyro_y_integral_rad_cos,IMU e atitude,0.029313169419765472,2.9313169419765472,5,seno/cosseno
delta_depth_close_2m_pp,gyro_z_integral_rad_sin,IMU e atitude,0.01202663779258728,1.202663779258728,39,seno/cosseno
delta_depth_close_2m_pp,gyro_z_integral_rad_cos,IMU e atitude,0.013836807571351528,1.3836807571351528,35,seno/cosseno
delta_depth_close_2m_pp,pan_comp_delta_rad_sin,Comandos reativos,0.013410176150500774,1.3410176150500774,37,seno/cosseno
delta_depth_close_2m_pp,pan_comp_delta_rad_cos,Comandos reativos,0.02002200298011303,2.002200298011303,18,seno/cosseno
delta_depth_close_5m_pp,dt_s,Sincronizacao,0.02245374023914337,2.245374023914337,13,seno/cosseno
delta_depth_close_5m_pp,depth_age_s,Sincronizacao,0.024337444454431534,2.4337444454431534,9,seno/cosseno
delta_depth_close_5m_pp,depth_dt_s,Sincronizacao,0.03017645701766014,3.017645701766014,4,seno/cosseno
delta_depth_close_5m_pp,delta_x_m,Movimento,0.023704925552010536,2.3704925552010536,11,seno/cosseno
delta_depth_close_5m_pp,delta_y_m,Movimento,0.017718510702252388,1.7718510702252388,23,seno/cosseno
delta_depth_close_5m_pp,delta_z_m,Movimento,0.020419547334313393,2.0419547334313393,18,seno/cosseno
delta_depth_close_5m_pp,delta_gyro_x_rad_s,IMU e atitude,0.01540413498878479,1.540413498878479,30,seno/cosseno
delta_depth_close_5m_pp,delta_gyro_y_rad_s,IMU e atitude,0.028501173481345177,2.8501173481345177,5,seno/cosseno
delta_depth_close_5m_pp,delta_gyro_z_rad_s,IMU e atitude,0.010578581131994724,1.0578581131994724,48,seno/cosseno
delta_depth_close_5m_pp,delta_accel_x_m_s2,IMU e atitude,0.02662516199052334,2.662516199052334,7,seno/cosseno
delta_depth_close_5m_pp,delta_accel_y_m_s2,IMU e atitude,0.02766118384897709,2.766118384897709,6,seno/cosseno
delta_depth_close_5m_pp,delta_accel_z_m_s2,IMU e atitude,0.016338463872671127,1.6338463872671127,27,seno/cosseno
delta_depth_close_5m_pp,delta_smooth_vx_m_s,Movimento,0.017911581322550774,1.7911581322550774,22,seno/cosseno
delta_depth_close_5m_pp,delta_smooth_vy_m_s,Movimento,0.020434003323316574,2.0434003323316574,16,seno/cosseno
delta_depth_close_5m_pp,delta_obstacle_risk,Comandos reativos,0.008194810710847378,0.8194810710847378,52,seno/cosseno
delta_depth_close_5m_pp,delta_avoid_lateral_body,Comandos reativos,0.01929379068315029,1.9293790683150291,20,seno/cosseno
delta_depth_close_5m_pp,delta_avoid_brake,Comandos reativos,0.011396381072700024,1.1396381072700024,47,seno/cosseno
delta_depth_close_5m_pp,flow_valid_points,Optical flow e risco,0.019951429218053818,1.9951429218053818,19,seno/cosseno
delta_depth_close_5m_pp,flow_active_points,Optical flow e risco,0.01732010580599308,1.732010580599308,25,seno/cosseno
delta_depth_close_5m_pp,flow_track_retention_pct,Optical flow e risco,0.01762835681438446,1.762835681438446,24,seno/cosseno
delta_depth_close_5m_pp,flow_mean_x_px,Optical flow e risco,0.014029141515493393,1.4029141515493393,34,seno/cosseno
delta_depth_close_5m_pp,flow_mean_y_px,Optical flow e risco,0.02363569289445877,2.363569289445877,12,seno/cosseno
