modelo,split,alvo_delta,MAE,RMSE,corr,configuracao,grupo_removido,n_features,semente,melhor_epoca,MAE_referencia,delta_MAE,delta_MAE_pct
MLP,teste,delta_depth_p10_m,0.09928450918622901,0.24884970846441387,-0.1710237810078403,Sem IMU e atitude,IMU e atitude,32,21,64,0.08872678624886957,0.010557722937359446,11.899138223879891
MLP,teste,delta_depth_p50_m,0.1992101352661848,0.28490900291851223,-0.014240179696629569,Sem IMU e atitude,IMU e atitude,32,21,64,0.17948897800190336,0.019721157264281447,10.987391807463696
MLP,teste,delta_depth_p90_m,0.8716373167686818,1.5393406227587803,0.007262950702155488,Sem IMU e atitude,IMU e atitude,32,21,64,0.9298173297268457,-0.058180012958163885,-6.25714439794917
MLP,teste,delta_depth_close_2m_pp,1.1854926591796027,1.850592855069426,-0.20874744175679033,Sem IMU e atitude,IMU e atitude,32,21,64,1.0235444487981558,0.1619482103814469,15.822293850707336
MLP,teste,delta_depth_close_5m_pp,1.9023619754112355,3.03424814051984,-0.058302519190384865,Sem IMU e atitude,IMU e atitude,32,21,64,1.7601244119324158,0.14223756347881977,8.081108500884842
MLP,teste,delta_depth_close_10m_pp,0.9164277581624041,1.2610973935511243,0.06130153165570876,Sem IMU e atitude,IMU e atitude,32,21,64,0.8161416257902834,0.1002861323721207,12.287834513404702
MLP,validacao,delta_depth_p10_m,0.06369230910369197,0.09476167505540935,0.2312611969291095,Sem IMU e atitude,IMU e atitude,32,42,41,0.0676433667978813,-0.003951057694189325,-5.8410127721689316
MLP,validacao,delta_depth_p50_m,0.21940778584822135,0.30789571787728115,0.20732600659574507,Sem IMU e atitude,IMU e atitude,32,42,41,0.19678962808102368,0.022618157767197666,11.493572089015359
MLP,validacao,delta_depth_p90_m,1.1839982076276476,3.2775504927779604,0.0889849885819115,Sem IMU e atitude,IMU e atitude,32,42,41,1.201333108853642,-0.01733490122599446,-1.4429720697980333
MLP,validacao,delta_depth_close_2m_pp,1.242988540208556,1.8908210041844133,0.3073161329044043,Sem IMU e atitude,IMU e atitude,32,42,41,1.1978100406351802,0.04517849957337594,3.7717582956157623
MLP,validacao,delta_depth_close_5m_pp,1.4905481941112906,1.9578914051702803,0.3421762215428775,Sem IMU e atitude,IMU e atitude,32,42,41,1.4182106781901573,0.07233751592113324,5.100618478874127
MLP,validacao,delta_depth_close_10m_pp,0.9294410342214499,1.2921143846679102,0.2786330401938785,Sem IMU e atitude,IMU e atitude,32,42,41,0.8463452151436393,0.0830958190778106,9.818194466156204
MLP,teste,delta_depth_p10_m,0.0952297586870918,0.24362157132448187,-0.10602540748957612,Sem IMU e atitude,IMU e atitude,32,42,41,0.09632765321739462,-0.0010978945303028176,-1.1397501066750397
MLP,teste,delta_depth_p50_m,0.1965519018530687,0.28449800093922806,-0.008574538069605996,Sem IMU e atitude,IMU e atitude,32,42,41,0.185302600462703,0.011249301390365701,6.07077362232157
